Folder,File,tcoffee,tcoffeeSP,tcoffeeTC,clustalw,clustalwSP,clustalwTC,muscle,muscleSP,muscleTC
RV12, BB12001.msf, tcoffee, 0.857, 0.660, clustalw, 0.756, 0.540, muscle, 0.811, 0.600
RV12, BB12002.msf, tcoffee, 0.879, 0.690, clustalw, 0.867, 0.740, muscle, 0.920, 0.780
RV12, BB12003.msf, tcoffee, 0.966, 0.920, clustalw, 0.806, 0.480, muscle, 0.903, 0.800
RV12, BB12004.msf, tcoffee, 0.946, 0.790, clustalw, 0.834, 0.490, muscle, 0.930, 0.730
RV12, BB12005.msf, tcoffee, 0.892, 0.650, clustalw, 0.870, 0.580, muscle, 0.893, 0.650
RV12, BB12006.msf, tcoffee, 0.927, 0.890, clustalw, 0.898, 0.850, muscle, 0.938, 0.880
RV12, BB12007.msf, tcoffee, 0.872, 0.740, clustalw, 0.857, 0.660, muscle, 0.859, 0.700
RV12, BB12008.msf, tcoffee, 0.929, 0.740, clustalw, 0.892, 0.690, muscle, 0.897, 0.630
RV12, BB12009.msf, tcoffee, 0.835, 0.600, clustalw, 0.915, 0.780, muscle, 0.815, 0.690
RV12, BB12010.msf, tcoffee, 0.907, 0.750, clustalw, 0.877, 0.740, muscle, 0.899, 0.750
RV12, BB12011.msf, tcoffee, 0.781, 0.450, clustalw, 0.702, 0.450, muscle, 0.715, 0.390
RV12, BB12012.msf, tcoffee, 0.584, 0.470, clustalw, 0.511, 0.340, muscle, 0.550, 0.430
RV12, BB12013.msf, tcoffee, 0.944, 0.850, clustalw, 0.872, 0.750, muscle, 0.924, 0.810
RV12, BB12014.msf, tcoffee, 1.000, 1.000, clustalw, 1.000, 1.000, muscle, 0.964, 0.830
RV12, BB12015.msf, tcoffee, 0.928, 0.840, clustalw, 0.546, 0.180, muscle, 0.918, 0.840
RV12, BB12016.msf, tcoffee, 0.854, 0.670, clustalw, 0.778, 0.600, muscle, 0.811, 0.610
RV12, BB12017.msf, tcoffee, 0.925, 0.810, clustalw, 0.894, 0.750, muscle, 0.883, 0.740
